English,Emoji,emoji_list
big business,[EM]necktie[EM]chart increasing[EM],"[':necktie:', ':chart_increasing:']"
big business,[EM]office building[EM]money-mouth face[EM]money-mouth face[EM],"[':office_building:', ':money-mouth_face:', ':money-mouth_face:']"
big business,[EM]man technologist[EM]handshake[EM],"[':man_technologist:', ':handshake:']"
big business,[EM]office building[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],"[':office_building:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']"
big business,[EM]woman technologist[EM]money-mouth face[EM],"[':woman_technologist:', ':money-mouth_face:']"
big business,[EM]money bag[EM]chart increasing[EM],"[':money_bag:', ':chart_increasing:']"
big business,[EM]office building[EM]office building[EM]office building[EM]bar chart[EM]globe showing Europe-Africa[EM],"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']"
big business,[EM]handshake[EM]tear-off calendar[EM],"[':handshake:', ':tear-off_calendar:']"
big expenditure,[EM]chart increasing[EM]money with wings[EM],"[':chart_increasing:', ':money_with_wings:']"
big expenditure,[EM]shallow pan of food[EM]burrito[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']"
big expenditure,[EM]man technologist[EM]money with wings[EM],"[':man_technologist:', ':money_with_wings:']"
big expenditure,[EM]money with wings[EM]money with wings[EM],"[':money_with_wings:', ':money_with_wings:']"
big expenditure,[EM]money-mouth face[EM]money with wings[EM],"[':money-mouth_face:', ':money_with_wings:']"
big expenditure,[EM]chart increasing[EM]money with wings[EM],"[':chart_increasing:', ':money_with_wings:']"
big expenditure,[EM]elephant[EM]dollar banknote[EM]money with wings[EM],"[':elephant:', ':dollar_banknote:', ':money_with_wings:']"
big expenditure,[EM]money-mouth face[EM]money with wings[EM],"[':money-mouth_face:', ':money_with_wings:']"
big voice,[EM]loudspeaker[EM]speaking head[EM],"[':loudspeaker:', ':speaking_head:']"
big voice,[EM]loudspeaker[EM]megaphone[EM],"[':loudspeaker:', ':megaphone:']"
big voice,[EM]speaker high volume[EM],[':speaker_high_volume:']
big voice,[EM]speaking head[EM]loudspeaker[EM],"[':speaking_head:', ':loudspeaker:']"
big voice,[EM]speaking head[EM]anger symbol[EM],"[':speaking_head:', ':anger_symbol:']"
big voice,[EM]studio microphone[EM]speaking head[EM],"[':studio_microphone:', ':speaking_head:']"
big voice,[EM]face with symbols on mouth[EM]face with symbols on mouth[EM],"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']"
big voice,[EM]speaking head[EM]anger symbol[EM],"[':speaking_head:', ':anger_symbol:']"
big group,[EM]people holding hands[EM]woman and man holding hands[EM]women holding hands[EM]men holding hands[EM],"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']"
big group,[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM],"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']"
big group,[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM],"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']"
big group,[EM]busts in silhouette[EM]busts in silhouette[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']"
big group,[EM]woman and man holding hands[EM]women holding hands[EM]family man man girl girl[EM]men holding hands[EM]family man man girl[EM],"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']"
big group,[EM]busts in silhouette[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':busts_in_silhouette:']"
big group,[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM],"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']"
big group,[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']"
big man,[EM]man beard[EM]astonished face[EM]up arrow[EM],"[':man_beard:', ':astonished_face:', ':up_arrow:']"
big man,[EM]Santa Claus[EM],[':Santa_Claus:']
big man,[EM]person curly hair[EM],[':person_curly_hair:']
big man,[EM]man standing[EM]flexed biceps[EM],"[':man_standing:', ':flexed_biceps:']"
big man,[EM]flexed biceps[EM]man beard[EM],"[':flexed_biceps:', ':man_beard:']"
big man,[EM]man blond hair[EM]left-right arrow[EM]up-down arrow[EM],"[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']"
big man,[EM]superhero[EM]man superhero[EM],"[':superhero:', ':man_superhero:']"
big man,[EM]flexed biceps[EM]man standing[EM],"[':flexed_biceps:', ':man_standing:']"
big city,[EM]sunset[EM]red exclamation mark[EM],"[':sunset:', ':red_exclamation_mark:']"
big city,[EM]sunset[EM]foggy[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']"
big city,[EM]Russia[EM],[':Russia:']
big city,[EM]cityscape[EM],[':cityscape:']
big city,[EM]cityscape at dusk[EM]exploding head[EM],"[':cityscape_at_dusk:', ':exploding_head:']"
big city,[EM]cityscape[EM]up-down arrow[EM]left-right arrow[EM],"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']"
big city,[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM],"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']"
big city,[EM]sunset[EM]cityscape[EM],"[':sunset:', ':cityscape:']"
big tipper,[EM]man beard[EM]money bag[EM],"[':man_beard:', ':money_bag:']"
big tipper,[EM]pancakes[EM]money with wings[EM],"[':pancakes:', ':money_with_wings:']"
big tipper,[EM]yen banknote[EM]yen banknote[EM]man getting massage[EM]man getting haircut[EM],"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']"
big tipper,[EM]coin[EM]coin[EM],"[':coin:', ':coin:']"
big tipper,[EM]money-mouth face[EM]man red hair[EM]money bag[EM],"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']"
big tipper,[EM]dollar banknote[EM]dollar banknote[EM],"[':dollar_banknote:', ':dollar_banknote:']"
big tipper,[EM]money with wings[EM]money with wings[EM]money with wings[EM],"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']"
big tipper,[EM]thumbs up[EM]money with wings[EM],"[':thumbs_up:', ':money_with_wings:']"
big day,[EM]red exclamation mark[EM]tear-off calendar[EM],"[':red_exclamation_mark:', ':tear-off_calendar:']"
big day,[EM]person with veil[EM]wedding[EM]man in tuxedo[EM],"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']"
big day,[EM]couple with heart woman man[EM]person with veil[EM],"[':couple_with_heart_woman_man:', ':person_with_veil:']"
